PID,MS SubClass,Lot Frontage,Lot Area,Lot Shape,Land Contour,Neighborhood,Bldg Type,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Total Bsmt SF,Central Air,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Mo Sold,Yr Sold,SalePrice
1205,90,95,11345,Reg,Lvl,NAmes,Duplex,5,5,1948,1950,928,Y,928,992,1920,2,10,0,2,400,7,2007,137000
827,120,50,7175,Reg,Lvl,SawyerW,TwnhsE,6,5,1990,1991,1398,Y,1398,0,1398,2,5,0,2,542,7,2006,172000
1510,70,57,9906,Reg,Lvl,OldTown,1Fam,4,4,1925,1950,686,N,810,518,1328,1,8,0,1,210,9,2006,107000
181,60,80,10400,Reg,Lvl,NWAmes,1Fam,7,6,1980,1988,738,Y,1277,767,2044,2,7,1,2,489,3,2008,185000
1101,20,65,8125,Reg,Lvl,NAmes,1Fam,5,7,1959,1959,864,Y,864,0,864,1,5,0,1,308,9,2009,118000
631,20,136,11675,IR1,Lvl,NoRidge,1Fam,8,5,1998,1998,1982,Y,2006,0,2006,2,5,1,3,938,7,2008,350000
1716,45,50,6000,Reg,Lvl,BrkSide,1Fam,6,7,1926,2004,884,Y,904,0,904,1,4,0,1,180,1,2009,119000
1372,30,60,10914,Reg,Lvl,NAmes,1Fam,3,3,1929,1950,715,N,715,0,715,1,4,0,2,660,8,2006,68000
1720,50,60,5520,IR1,Lvl,BrkSide,1Fam,5,7,1920,1997,565,Y,565,651,1216,1,6,1,1,355,4,2008,115000
1531,70,60,6600,Reg,Lvl,OldTown,1Fam,5,4,1892,1965,994,N,1378,994,2372,2,11,0,1,432,12,2009,107500
1378,30,60,10230,Reg,Lvl,OldTown,1Fam,5,7,1925,1950,1054,Y,1078,0,1078,1,6,0,1,264,12,2009,125000
470,120,60,7313,Reg,Lvl,NridgHt,TwnhsE,9,5,2005,2005,1561,Y,1561,0,1561,2,6,1,2,556,8,2007,277500
201,60,80,10480,Reg,Lvl,NWAmes,1Fam,7,6,1976,1976,803,Y,1098,866,1964,2,8,1,2,483,9,2008,205000
1751,50,51,6120,Reg,Lvl,OldTown,1Fam,7,5,1931,1950,952,Y,1022,752,1774,2,8,2,2,468,4,2008,129900
1221,20,80,10197,IR1,Lvl,NAmes,1Fam,6,5,1961,1961,1362,Y,1362,0,1362,1,6,1,2,504,6,2008,163000
177,60,80,11584,Reg,Lvl,NWAmes,1Fam,7,6,1979,1979,539,Y,1040,685,1725,2,6,1,2,550,11,2007,197000
1600,30,60,8520,Reg,Lvl,OldTown,1Fam,5,6,1923,2006,968,Y,968,0,968,1,5,0,2,480,7,2007,100000
1664,20,65,9750,Reg,Lvl,OldTown,1Fam,5,5,1958,1958,960,Y,960,0,960,1,5,0,2,624,7,2006,125000
1401,80,85,13400,Reg,Lvl,NAmes,1Fam,5,5,1966,1966,1024,Y,1086,0,1086,1,6,1,2,484,6,2006,159950
460,120,48,6955,IR1,Lvl,NridgHt,TwnhsE,7,5,2005,2006,1368,Y,1368,0,1368,2,6,1,2,474,9,2006,202500
63,160,68,13108,IR1,Lvl,StoneBr,1Fam,8,5,1994,1994,2062,Y,2079,608,2687,2,9,0,2,618,12,2006,270000
2123,20,86,11210,IR1,Lvl,CollgCr,1Fam,7,5,2005,2006,1614,Y,1614,0,1614,2,7,0,3,865,7,2006,221500
529,120,43,3182,Reg,Lvl,Blmngtn,TwnhsE,7,5,2005,2006,1373,Y,1555,0,1555,2,7,1,2,430,5,2009,192500
2188,20,70,9100,Reg,Lvl,CollgCr,1Fam,7,5,2000,2000,1525,Y,1525,0,1525,2,6,0,2,541,9,2006,235000
215,20,78,10140,Reg,Lvl,NWAmes,1Fam,5,6,1975,1975,1056,Y,1074,0,1074,1,6,0,2,495,7,2006,153500
2216,60,79,12420,Reg,Lvl,CollgCr,1Fam,7,5,2001,2001,944,Y,944,896,1840,2,6,0,2,622,6,2009,230000
2717,60,85,11050,Reg,Lvl,Mitchel,1Fam,8,5,1998,1999,1049,Y,1036,880,1916,2,8,1,3,741,5,2010,254900
2500,75,60,6204,Reg,Bnk,SWISU,1Fam,4,5,1912,1950,795,N,954,795,2230,1,10,0,1,440,3,2006,118500
543,20,182,14572,IR3,Lvl,Gilbert,1Fam,7,5,2004,2004,1530,Y,1530,0,1530,2,7,1,3,630,11,2007,259000
1390,70,60,7200,Reg,Lvl,OldTown,1Fam,7,9,1910,2008,560,Y,930,760,1690,2,5,0,2,624,8,2009,156500
2091,60,77,9965,Reg,Lvl,CollgCr,1Fam,7,5,2007,2007,1264,Y,1282,1414,2696,2,10,1,3,792,10,2007,383970
2682,30,60,6060,Reg,Lvl,IDOTRR,1Fam,5,9,1930,2007,837,Y,1001,0,1001,1,5,0,1,216,11,2007,124900
1552,30,50,5633,Reg,Lvl,OldTown,1Fam,5,7,1925,1950,844,Y,844,0,844,1,5,0,1,216,7,2006,111500
465,120,44,6442,IR1,Lvl,NridgHt,TwnhsE,8,5,2006,2006,1370,Y,1370,0,1370,2,6,1,2,484,10,2007,202500
2052,80,74,10778,IR1,Lvl,SawyerW,1Fam,7,6,1990,1991,1054,Y,1061,0,1061,1,4,0,2,462,7,2009,162000
283,160,21,1680,Reg,Lvl,BrDale,Twnhs,5,5,1971,1971,525,Y,525,567,1092,1,6,0,1,320,3,2010,105500
2816,20,75,12518,IR1,Lvl,Mitchel,1Fam,5,7,1968,1968,1008,Y,1008,0,1008,1,6,0,1,384,4,2009,139500
1444,20,60,7200,Reg,Lvl,NAmes,1Fam,5,3,1950,1950,864,Y,1238,0,1238,1,6,1,1,357,11,2007,102000
732,60,100,13162,Reg,Lvl,Somerst,1Fam,9,5,2006,2006,2036,Y,2036,604,2640,3,11,1,3,792,11,2006,405749
1800,70,60,10266,Reg,Lvl,IDOTRR,1Fam,6,6,1952,1952,768,Y,768,768,1536,1,7,0,1,308,5,2008,136000
2798,20,85,14601,Reg,Lvl,Timber,1Fam,9,5,2006,2006,1838,Y,1838,0,1838,2,8,1,3,765,3,2009,315000
372,20,98,16033,IR1,Lvl,NridgHt,1Fam,9,5,2004,2005,1833,Y,1850,0,1850,2,8,1,3,772,3,2006,326000
1495,60,70,7700,Reg,Lvl,NAmes,1Fam,6,5,1966,1966,756,Y,1051,788,1839,1,7,1,2,442,6,2010,155000
324,20,96,12444,Reg,Lvl,NridgHt,1Fam,8,5,2008,2008,1932,Y,1932,0,1932,2,7,1,3,774,11,2008,394617
1332,30,65,7898,Reg,Lvl,NAmes,1Fam,4,7,1920,1994,576,Y,985,0,985,1,4,0,2,676,4,2010,105000
2655,70,59,10690,Reg,Lvl,IDOTRR,1Fam,5,7,1920,1997,672,Y,672,672,1344,1,6,0,1,468,7,2009,147000
791,20,60,12450,Reg,Lvl,SawyerW,1Fam,5,5,2003,2004,1094,Y,1094,0,1094,1,6,0,2,576,5,2007,149000
760,20,60,7200,Reg,Lvl,Somerst,1Fam,6,5,2006,2006,1262,Y,1262,0,1262,2,5,0,2,572,5,2006,185000
511,60,73,8499,IR1,Lvl,Gilbert,1Fam,6,5,2006,2007,616,Y,616,796,1412,2,6,1,2,432,3,2007,156932
1255,20,70,8176,Reg,Lvl,NAmes,1Fam,5,6,1958,1992,1056,Y,1056,0,1056,1,6,0,1,308,8,2007,139000
1986,20,73,39104,IR1,Low,ClearCr,1Fam,7,7,1954,2005,1385,Y,1363,0,1363,1,5,2,2,439,4,2008,241500
1786,45,40,5680,Reg,Lvl,OldTown,1Fam,5,4,1901,1950,592,N,933,240,1173,2,7,0,1,240,9,2007,113000
1791,50,59,5310,Reg,Lvl,OldTown,1Fam,6,8,1910,2003,485,Y,1001,634,1635,1,5,0,1,255,6,2006,117000
2481,20,60,8172,Reg,HLS,Edwards,1Fam,4,5,1955,1955,864,Y,864,0,864,1,5,0,2,528,10,2007,79275
288,160,21,1680,Reg,Lvl,BrDale,Twnhs,6,5,1972,1972,525,Y,525,567,1092,1,6,0,1,264,10,2006,108000
1596,30,48,5747,Reg,Lvl,OldTown,1Fam,3,4,1920,1950,798,Y,840,0,840,1,5,0,1,250,6,2006,64000
2041,20,60,11100,Reg,Low,Edwards,1Fam,4,7,1946,2006,0,Y,930,0,930,1,6,0,1,308,4,2010,84900
2777,20,93,18265,Reg,Lvl,Timber,1Fam,6,5,1986,1986,1256,Y,1256,0,1256,2,6,1,2,578,3,2008,180000
2100,20,93,10481,IR1,Lvl,CollgCr,1Fam,8,5,2006,2007,2140,Y,2140,0,2140,2,8,0,3,894,6,2007,360000
2223,60,68,11250,IR1,Lvl,CollgCr,1Fam,7,5,2001,2002,920,Y,920,866,1786,2,6,1,2,608,9,2008,223500
668,20,75,9910,Reg,Lvl,Somerst,1Fam,7,6,2007,2007,1369,Y,1369,0,1369,2,5,0,2,605,9,2007,213133
2342,20,48,10635,IR2,Lvl,CollgCr,1Fam,8,5,2003,2003,1657,Y,1668,0,1668,2,8,1,2,502,5,2010,232000
707,20,73,8987,Reg,Lvl,Somerst,1Fam,8,5,2005,2006,1595,Y,1595,0,1595,2,6,1,3,880,5,2010,221500
2021,50,75,9525,Reg,Lvl,Edwards,1Fam,6,4,1954,1972,994,Y,1216,639,1855,2,7,0,1,325,10,2006,136900
2177,60,43,10667,IR2,Lvl,CollgCr,1Fam,7,6,1996,1996,799,Y,827,834,1661,2,6,1,2,550,4,2009,212000
186,60,80,16692,IR1,Lvl,NWAmes,1Fam,7,5,1978,1978,1392,Y,1392,1392,2784,3,12,2,2,564,7,2006,250000
354,60,109,14154,Reg,Lvl,NridgHt,1Fam,7,5,2006,2006,1063,Y,1071,1101,2172,2,9,1,3,947,8,2007,280000
2652,30,46,3672,Reg,Lvl,IDOTRR,1Fam,5,7,1922,1950,816,Y,816,0,816,1,5,0,1,100,9,2007,75200
2353,20,85,10200,Reg,Lvl,CollgCr,1Fam,8,5,2007,2007,1578,Y,1602,0,1602,2,7,1,3,810,1,2009,293200
1405,80,93,10090,IR1,Lvl,NAmes,1Fam,7,5,1963,1999,725,Y,1035,616,1651,2,6,2,1,276,10,2007,172000
802,20,88,10994,IR1,Lvl,SawyerW,1Fam,8,5,2005,2006,1844,Y,1844,0,1844,2,7,1,2,620,9,2009,257000
1636,70,50,9000,Reg,Lvl,OldTown,1Fam,8,9,1890,2002,346,Y,1157,1111,2268,3,7,0,2,624,4,2010,240000
924,160,39,3515,Reg,Lvl,Somerst,TwnhsE,7,5,2004,2004,840,Y,840,840,1680,2,3,0,2,588,1,2010,190000
612,60,82,9430,Reg,Lvl,NoRidge,1Fam,8,5,1999,1999,1252,Y,1268,1097,2365,2,8,1,3,856,7,2009,337000
605,80,64,7848,IR1,Lvl,Gilbert,1Fam,7,6,1999,1999,384,Y,774,656,1430,2,7,1,2,410,6,2009,168000
1238,20,120,13560,Reg,Lvl,NAmes,1Fam,6,3,1968,1968,1392,Y,1392,0,1392,1,5,2,2,576,7,2009,110000
273,160,21,1890,Reg,Lvl,BrDale,Twnhs,6,7,1972,1972,494,Y,494,536,1030,1,6,0,1,264,7,2006,116000
2729,80,140,11080,Reg,Lvl,Mitchel,1Fam,6,6,1975,1975,1128,Y,1210,0,1210,2,6,0,2,528,5,2006,148000
506,60,105,15578,IR1,Lvl,Gilbert,1Fam,6,5,2006,2006,728,Y,728,728,1456,2,8,0,2,429,5,2006,172785
437,120,34,3901,Reg,Lvl,NridgHt,Twnhs,6,5,2005,2006,1302,Y,1302,0,1302,1,5,1,2,631,8,2007,204000
1316,20,66,12778,Reg,Lvl,NAmes,1Fam,5,6,1952,2003,1008,Y,1008,0,1008,1,4,0,1,280,1,2006,139500
1685,50,55,8674,Reg,HLS,BrkSide,1Fam,5,6,1950,1950,910,Y,910,525,1435,1,6,0,1,308,3,2007,128250
1320,20,68,7922,Reg,Lvl,NAmes,1Fam,5,7,1953,2007,1057,Y,1057,0,1057,1,5,0,1,246,1,2010,109000
2588,50,86,11500,IR1,Lvl,Crawfor,1Fam,7,7,1936,1987,1017,Y,1020,1037,2057,1,6,1,1,180,6,2006,250000
1849,50,80,17120,Reg,Lvl,ClearCr,1Fam,4,4,1959,1959,0,Y,1120,468,1588,2,7,1,2,680,7,2008,134432
540,120,43,3013,Reg,Lvl,Blmngtn,TwnhsE,7,5,2005,2005,1362,Y,1506,0,1506,2,6,1,2,440,4,2006,213490
2884,90,55,12640,IR1,Lvl,Mitchel,Duplex,6,5,1976,1976,1728,Y,1728,0,1728,2,8,0,2,574,7,2006,150900
1139,20,90,9900,Reg,Lvl,NAmes,1Fam,5,5,1961,1961,1114,Y,1114,0,1114,1,5,0,2,451,5,2008,140000
916,120,32,3784,IR1,Lvl,Somerst,TwnhsE,8,5,2006,2007,1511,Y,1565,0,1565,2,5,0,2,476,2,2007,193800
1642,75,75,13500,Reg,Lvl,OldTown,1Fam,7,8,1879,1987,819,Y,1312,1142,2454,2,8,1,2,576,2,2007,185000
1914,20,78,10335,IR1,Lvl,Sawyer,1Fam,5,6,1968,1993,1461,Y,1721,0,1721,2,7,1,2,440,7,2006,180000
453,120,61,7658,Reg,Lvl,NridgHt,TwnhsE,9,5,2005,2005,1752,Y,1752,0,1752,2,6,1,2,576,2,2010,319900
1361,50,50,7000,Reg,Lvl,OldTown,1Fam,6,6,1924,1950,617,Y,865,445,1310,2,6,0,1,398,5,2006,112000
1507,20,56,9836,Reg,Bnk,OldTown,1Fam,6,5,2008,2008,192,N,1133,0,1133,1,7,0,1,308,12,2008,143000
1358,90,76,12436,Reg,Lvl,NAmes,Duplex,5,5,1957,1957,1824,Y,1824,0,1824,2,9,0,2,484,1,2008,146000
2443,160,32,3363,Reg,Lvl,Edwards,TwnhsE,7,5,2004,2004,976,Y,976,732,1708,2,7,0,2,380,4,2006,130000
1027,20,130,11700,Reg,Lvl,NWAmes,1Fam,6,5,1968,1968,1295,Y,1295,0,1295,1,6,0,2,528,4,2007,164000
2262,85,60,7200,Reg,Lvl,CollgCr,1Fam,5,8,1972,2003,768,Y,768,0,768,1,5,0,1,396,4,2009,133900
2147,60,80,10041,IR1,Lvl,SawyerW,1Fam,8,5,1992,1992,908,Y,927,988,1915,2,8,1,2,506,2,2006,220000
1856,30,55,8250,Reg,Lvl,Edwards,1Fam,5,7,1935,1950,0,N,1032,0,1032,1,6,1,1,260,6,2006,125000
1516,50,60,5520,Reg,Lvl,OldTown,1Fam,4,6,1920,1980,1147,N,1147,510,1657,1,9,1,1,162,7,2006,111500
2695,120,41,5748,IR1,HLS,Crawfor,TwnhsE,8,5,2005,2006,1573,Y,1778,0,1778,2,5,1,2,495,2,2006,375000
1729,30,51,6120,Reg,Lvl,BrkSide,1Fam,5,7,1931,1993,715,Y,875,0,875,1,5,0,1,180,11,2009,105000
304,120,24,2280,Reg,Lvl,NPkVill,Twnhs,7,7,1976,1976,1055,Y,1055,0,1055,2,4,0,1,319,4,2006,137500
553,60,74,9056,IR1,Lvl,Gilbert,1Fam,8,5,2004,2004,707,Y,707,707,1414,2,6,1,2,403,10,2006,178000
1882,20,70,11200,Reg,Lvl,Sawyer,1Fam,5,5,1965,1965,1040,Y,1040,0,1040,1,5,0,1,384,2,2008,129500
616,60,174,15138,IR1,Lvl,NoRidge,1Fam,8,5,1995,1996,1462,Y,1490,1304,2794,2,9,1,3,810,7,2009,403000
2844,160,41,2665,Reg,Lvl,MeadowV,TwnhsE,5,6,1977,1977,757,Y,925,550,1475,2,6,1,1,336,7,2006,127000
1857,190,59,4484,IR1,Lvl,SWISU,2fmCon,5,6,1942,1979,672,N,778,504,1282,1,4,0,1,240,7,2007,108500
826,120,50,7175,Reg,Lvl,SawyerW,TwnhsE,6,5,1990,1991,1332,Y,1332,0,1332,2,5,0,2,542,2,2009,145000
1663,20,65,9750,Reg,Lvl,OldTown,1Fam,5,6,1959,1959,984,Y,984,0,984,1,5,0,1,308,6,2008,110000
1303,20,70,8092,Reg,Lvl,NAmes,1Fam,6,8,1954,2000,1050,Y,1050,0,1050,1,6,0,1,286,6,2006,156000
2770,60,92,12003,Reg,Lvl,Timber,1Fam,8,5,2009,2010,774,Y,774,1194,1968,2,8,1,3,680,5,2010,269500
1572,20,100,12000,Reg,Lvl,OldTown,1Fam,5,7,1948,2005,924,Y,1122,0,1122,1,6,0,2,528,5,2008,147000
1201,50,80,9600,Reg,Lvl,NAmes,1Fam,6,5,1950,1950,1032,Y,1032,220,1252,1,6,0,1,288,4,2008,119000
1645,30,84,11340,Reg,Lvl,OldTown,1Fam,6,5,1923,1950,1200,Y,1200,0,1200,1,7,0,1,312,3,2006,125000
2697,120,44,4750,IR1,HLS,Crawfor,TwnhsE,8,5,2006,2007,1573,Y,1625,0,1625,2,5,1,2,538,12,2007,235000
2696,120,59,5568,IR1,HLS,Crawfor,TwnhsE,8,5,2006,2007,1573,Y,1625,0,1625,2,5,1,2,495,10,2007,375000
2862,20,83,13383,IR1,Lvl,Mitchel,1Fam,5,5,1969,2000,1188,Y,1404,0,1404,2,7,1,2,504,3,2009,160000
1045,60,78,10530,Reg,Lvl,NWAmes,1Fam,7,6,1993,1993,1148,Y,1091,984,2075,2,8,1,2,473,8,2007,255000
1204,80,80,9600,Reg,Lvl,NAmes,1Fam,6,6,1955,1996,992,Y,1661,0,1661,1,8,1,1,377,10,2008,165500
368,20,120,14780,IR1,HLS,NridgHt,1Fam,9,5,2005,2005,1868,Y,1868,0,1868,2,7,1,3,1085,6,2006,415000
432,20,71,9254,IR1,Lvl,NridgHt,1Fam,8,5,2005,2005,1721,Y,1721,0,1721,2,7,0,2,554,1,2007,232698
2043,190,68,10880,Reg,Lvl,Edwards,2fmCon,5,5,1950,1950,1164,N,1164,0,1164,1,5,0,1,240,8,2008,125000
2720,60,71,12209,IR1,Lvl,Mitchel,1Fam,6,5,2001,2002,804,Y,804,1157,1961,2,7,1,2,560,6,2009,215000
1626,75,60,10800,Reg,Lvl,OldTown,1Fam,7,7,1914,1970,880,N,880,888,1768,1,6,2,2,320,10,2006,163000
985,120,32,10846,IR1,Lvl,Veenker,TwnhsE,8,5,1993,1993,1719,Y,1719,0,1719,1,6,2,2,473,5,2008,324000
388,20,90,11520,Reg,Lvl,NridgHt,1Fam,9,5,2005,2005,1698,Y,1698,0,1698,2,7,1,3,730,6,2010,275000
1263,20,73,8760,Reg,Lvl,NAmes,1Fam,6,6,1959,1959,1194,Y,1194,0,1194,1,6,0,1,312,4,2010,148000
934,160,24,2544,Reg,Lvl,Somerst,Twnhs,7,5,2005,2005,600,Y,520,623,1223,2,4,0,2,480,7,2006,147400
764,20,68,8736,IR1,Lvl,Somerst,1Fam,7,5,2003,2004,1553,Y,1553,0,1553,2,6,0,2,588,8,2009,234500
796,20,81,9260,Reg,Lvl,SawyerW,1Fam,7,5,2007,2007,1162,Y,1162,0,1162,2,6,0,2,483,3,2008,170000
638,60,95,11787,IR1,Lvl,NoRidge,1Fam,7,5,1996,1997,1379,Y,1383,1015,2398,2,8,1,3,834,8,2007,315750
43,60,72,10463,IR1,HLS,Gilbert,1Fam,8,5,2005,2005,893,Y,901,900,1801,2,8,1,3,800,6,2006,239900
837,90,75,8250,Reg,Lvl,SawyerW,Duplex,6,7,1981,1981,0,Y,964,918,1882,2,8,2,2,612,5,2009,160000
415,20,131,14828,IR1,Lvl,NridgHt,1Fam,9,5,2004,2005,1780,Y,1780,0,1780,2,7,1,3,816,8,2006,378000
320,20,65,7150,Reg,Lvl,NAmes,1Fam,5,6,1966,1966,988,Y,988,0,988,1,5,0,1,360,11,2007,129250
1188,20,80,9600,Reg,Lvl,NAmes,1Fam,5,6,1960,1960,1296,Y,1496,0,1496,2,6,0,2,450,2,2008,141500
2293,60,70,8749,Reg,Lvl,CollgCr,1Fam,7,5,2003,2003,979,Y,992,940,1932,2,7,1,2,610,6,2007,213000
1908,20,65,7832,Reg,Lvl,Sawyer,1Fam,5,5,1968,1968,864,Y,864,0,864,1,4,0,1,280,5,2010,137250
889,20,95,19508,Reg,Lvl,Veenker,1Fam,6,5,1974,1974,1430,Y,1430,0,1430,2,6,2,2,484,7,2008,192000
1687,40,50,9100,Reg,Lvl,BrkSide,1Fam,5,6,1930,1960,742,Y,779,0,935,1,4,0,1,308,8,2008,79500
1006,20,68,50271,IR1,Low,Veenker,1Fam,9,5,1981,1987,1842,Y,1842,0,1842,0,5,1,3,894,11,2006,385000
2578,50,130,9600,IR1,HLS,Crawfor,1Fam,5,7,1940,1950,728,Y,976,332,1308,1,7,2,1,256,6,2009,160000
1053,90,75,9750,Reg,Lvl,NWAmes,Duplex,5,6,1965,1965,1625,Y,1625,0,1625,2,8,0,2,484,8,2008,140500
1741,70,51,6120,Reg,Lvl,BrkSide,1Fam,5,8,1920,2004,939,Y,939,574,1513,1,8,0,1,180,5,2007,137500
298,120,53,4043,Reg,Lvl,NPkVill,TwnhsE,6,5,1977,1977,1069,Y,1069,0,1069,2,4,1,2,440,7,2010,127500
2479,20,60,8172,Reg,Lvl,Edwards,1Fam,4,5,1955,1955,768,Y,768,0,768,1,4,1,1,355,7,2007,125000
2415,60,75,7950,IR1,Bnk,Edwards,1Fam,6,6,1977,1977,690,Y,698,728,1426,1,6,0,2,440,7,2009,159500
2778,20,130,11457,IR1,Lvl,Timber,1Fam,6,5,1988,1988,1392,Y,1412,0,1412,2,6,1,2,576,3,2009,175000
22,60,72,8702,IR1,Lvl,Gilbert,1Fam,6,5,1997,1998,926,Y,926,678,1604,2,7,1,2,470,4,2008,187500
1863,70,54,6629,Reg,Lvl,Edwards,1Fam,6,6,1925,1950,672,N,697,672,1369,2,6,0,1,300,7,2009,103600
1248,20,109,9723,IR1,Lvl,NAmes,1Fam,6,7,1963,1963,1008,Y,1008,0,1008,1,5,0,2,430,10,2006,135000
1127,20,80,8800,Reg,Lvl,NAmes,1Fam,7,6,1966,1966,1174,Y,1200,0,1200,2,6,1,2,440,10,2007,163500
1392,30,60,5400,Reg,Lvl,OldTown,1Fam,5,6,1920,1950,691,Y,691,0,691,1,4,0,1,216,1,2007,86000
1527,70,60,9600,Reg,Lvl,OldTown,1Fam,5,7,1910,2002,264,Y,768,664,1432,2,7,0,2,360,5,2007,132000
1356,20,50,8000,Reg,Lvl,NAmes,1Fam,6,6,1948,2002,972,Y,972,0,972,1,5,1,1,240,5,2009,132000
319,20,65,7150,Reg,Lvl,NAmes,1Fam,5,5,1967,1967,892,Y,892,0,892,1,5,0,1,288,7,2009,100000
1677,70,144,21384,Reg,Lvl,BrkSide,1Fam,5,6,1923,2004,1324,Y,1072,504,1576,1,6,1,2,528,5,2009,223500
489,20,65,10237,Reg,Lvl,Gilbert,1Fam,6,5,2005,2006,1316,Y,1316,0,1316,2,6,1,2,397,10,2006,169990
824,120,55,7892,Reg,Lvl,SawyerW,TwnhsE,6,5,1979,1979,918,Y,918,0,918,2,5,1,1,264,4,2010,99500
2831,85,150,14137,Reg,Lvl,Mitchel,1Fam,4,5,1964,1964,1200,Y,1200,0,1200,1,6,0,3,850,11,2008,173000
1879,20,80,8816,Reg,Lvl,Sawyer,1Fam,5,6,1963,1963,1121,Y,1121,0,1121,1,5,0,2,480,6,2009,139000
703,20,75,10084,Reg,Lvl,Somerst,1Fam,8,5,2004,2005,1686,Y,1694,0,1694,2,7,1,2,636,8,2007,307000
1655,30,60,7200,Reg,Lvl,OldTown,1Fam,5,4,1910,2006,1022,N,1022,0,1022,1,4,0,1,280,6,2009,85000
1551,30,56,7741,Reg,Lvl,OldTown,1Fam,6,5,1924,1950,1032,N,1032,0,1032,1,5,0,1,280,6,2006,108000
1428,20,47,16321,IR1,Lvl,NAmes,1Fam,5,6,1957,1997,1484,Y,1600,0,1600,1,6,2,1,319,12,2006,207500
1413,20,66,7800,IR1,Lvl,NAmes,1Fam,5,5,1964,1964,912,Y,912,0,912,1,5,0,1,288,11,2006,115000
1936,20,102,17920,Reg,Lvl,Sawyer,1Fam,5,4,1955,1974,1763,Y,1779,0,1779,1,6,1,2,454,7,2006,170000
159,20,56,18559,IR1,Lvl,NWAmes,1Fam,7,5,1978,1978,2048,Y,2064,0,2064,2,7,2,2,550,8,2008,235000
2137,60,78,9316,Reg,Lvl,CollgCr,1Fam,7,5,2005,2006,879,Y,879,916,1795,2,7,0,2,578,10,2007,191000
1961,50,63,8375,Reg,Lvl,Sawyer,1Fam,5,7,1941,1973,576,Y,864,486,1350,1,6,0,3,627,6,2008,152400
1422,20,86,11650,Reg,Lvl,NAmes,1Fam,7,5,1959,1959,0,Y,1472,0,1472,2,5,1,2,484,6,2006,157500
1494,60,80,9760,Reg,Lvl,NAmes,1Fam,6,6,1964,1964,780,Y,798,813,1611,1,7,0,2,442,6,2008,167900
2096,20,65,10816,IR1,Lvl,CollgCr,1Fam,9,5,2008,2008,1720,Y,1720,0,1720,2,8,1,3,846,11,2009,332000
1559,50,40,4400,Reg,Lvl,OldTown,1Fam,6,8,1920,1950,648,Y,734,384,1118,1,6,0,2,440,10,2006,116000
381,60,134,16659,IR1,Lvl,NridgHt,1Fam,8,5,2007,2008,1582,Y,1582,570,2152,2,7,1,2,728,6,2007,260116
132,20,60,8089,Reg,HLS,StoneBr,1Fam,8,6,2007,2007,1419,Y,1419,0,1419,2,7,1,2,567,10,2007,392000
75,60,73,11184,IR1,Lvl,Gilbert,1Fam,6,5,1998,1998,932,Y,932,701,1633,2,7,1,2,460,4,2008,183000
992,20,90,10768,IR1,Lvl,Veenker,1Fam,5,8,1976,2004,1437,Y,1437,0,1437,2,6,1,2,528,7,2007,218000
2160,20,62,70761,IR1,Low,ClearCr,1Fam,7,5,1975,1975,1533,Y,1533,0,1533,2,5,2,2,576,12,2006,280000
2848,180,21,1596,Reg,Lvl,MeadowV,Twnhs,4,5,1973,1973,462,Y,526,462,988,1,5,0,1,297,11,2009,91000
301,160,24,2308,Reg,Lvl,NPkVill,TwnhsE,6,6,1976,1976,804,Y,804,744,1548,2,7,1,2,440,7,2007,155000
2053,20,114,10357,IR1,Lvl,SawyerW,1Fam,7,5,1990,1991,910,Y,1442,0,1442,2,6,1,2,719,5,2007,179900
1844,20,100,21370,Reg,Lvl,Sawyer,1Fam,5,5,1950,1950,0,Y,1640,0,1640,1,7,1,2,394,6,2006,131000
2412,60,60,6931,Reg,Lvl,Edwards,1Fam,7,5,2003,2004,746,Y,760,896,1656,2,7,1,2,397,7,2008,165400
2305,20,90,15750,Reg,Lvl,CollgCr,1Fam,8,5,1999,2000,1462,Y,1513,0,1513,2,5,1,2,521,6,2009,220000
2421,60,72,7200,Reg,Lvl,Edwards,1Fam,6,7,1976,2001,684,Y,684,714,1398,1,6,1,2,440,2,2008,160500
1840,90,120,11136,Reg,Lvl,Sawyer,Duplex,6,5,1964,1964,1921,Y,1921,0,1921,2,8,0,2,576,7,2006,150000
2423,20,74,8536,Reg,Lvl,Edwards,1Fam,5,5,2006,2007,1125,Y,1125,0,1125,1,5,0,2,430,4,2007,155000
1621,75,60,9600,Reg,Lvl,OldTown,1Fam,6,5,1917,1950,735,N,1134,924,2058,1,8,1,2,396,4,2008,129500
2380,70,67,8777,Reg,Bnk,Edwards,1Fam,4,6,1910,2000,676,Y,760,676,1436,2,6,0,2,528,10,2006,98000
589,60,60,15384,IR1,Lvl,Gilbert,1Fam,7,5,2004,2005,788,Y,788,702,1490,2,8,1,2,388,2,2008,184000
353,20,98,12704,Reg,Lvl,NridgHt,1Fam,8,5,2007,2007,1582,Y,1582,0,1582,2,7,0,3,905,1,2008,317500
594,60,58,10852,IR1,Lvl,Gilbert,1Fam,6,5,2000,2000,959,Y,959,712,1671,2,7,1,2,472,2,2006,173000
1546,50,81,7308,Reg,Lvl,OldTown,1Fam,5,5,1920,1950,936,N,960,780,1740,1,6,1,1,225,6,2008,122250
